id	measurementType	measurementValue	measurementUnit
5754745	Body_size	15.5	mm
5754745	Dispersal_ability	0.01	ratio within order
5754745	Thermal_minimum	7.61	°C
5754745	Thermal_maximum	12.75	°C
5754745	Thermal_mean	10.47	°C
5754745	Thermal_range	5.13	°C
5754770	Body_size	13.25	mm
5754770	Fecundity	15	eggs
5754770	Development_time	210	days
5754770	Dispersal_ability	0.01	ratio within order
5754770	Thermal_minimum	1.1	°C
5754770	Thermal_maximum	12.26	°C
5754770	Thermal_mean	9.86	°C
5754770	Thermal_range	11.17	°C
5754772	Body_size	18.67	mm
5754772	Development_time	150	days
5754772	Dispersal_ability	0.01	ratio within order
5754772	Thermal_minimum	-1.05	°C
5754772	Thermal_maximum	14.25	°C
5754772	Thermal_mean	9.66	°C
5754772	Thermal_range	15.3	°C
5754817	Body_size	15.5	mm
5754817	Fecundity	16	eggs
5754817	Development_time	165	days
5754817	Dispersal_ability	0.01	ratio within order
5754817	Thermal_minimum	6.75	°C
5754817	Thermal_maximum	12.26	°C
5754817	Thermal_mean	10.26	°C
5754817	Thermal_range	5.52	°C
4433517	Body_size	1.68	mm
4433517	Dispersal_ability	0.03	ratio within order
4433517	Thermal_minimum	2.91	°C
4433517	Thermal_maximum	11.07	°C
4433517	Thermal_mean	9.43	°C
4433517	Thermal_range	8.16	°C
4433510	Body_size	1.56	mm
4433510	Dispersal_ability	0.05	ratio within order
4433510	Thermal_minimum	3.94	°C
4433510	Thermal_maximum	16.18	°C
4433510	Thermal_mean	10.17	°C
4433510	Thermal_range	12.25	°C
1967873	Body_size	21	mm
1967873	Voltinism_mean	1	generation(s) / year
1967873	Thermal_minimum	0.11	°C
1967873	Thermal_maximum	13.82	°C
1967873	Thermal_mean	9.45	°C
1967873	Thermal_range	13.71	°C
1967815	Body_size	19.67	mm
1967815	Voltinism_mean	1	generation(s) / year
1967815	Thermal_minimum	-1.75	°C
1967815	Thermal_maximum	14.47	°C
1967815	Thermal_mean	9.15	°C
1967815	Thermal_range	16.22	°C
1767608	Body_size	17.25	mm
1767608	Voltinism_mean	1	generation(s) / year
1767608	Thermal_minimum	-0.64	°C
1767608	Thermal_maximum	13.1	°C
1767608	Thermal_mean	7.34	°C
1767608	Thermal_range	13.74	°C
1767625	Body_size	15.67	mm
1767625	Voltinism_mean	2	generation(s) / year
1767625	Thermal_minimum	-1.86	°C
1767625	Thermal_maximum	14.45	°C
1767625	Thermal_mean	8.72	°C
1767625	Thermal_range	16.31	°C
1767597	Body_size	16.33	mm
1767597	Voltinism_mean	2	generation(s) / year
1767597	Thermal_minimum	-1.75	°C
1767597	Thermal_maximum	15.29	°C
1767597	Thermal_mean	9.27	°C
1767597	Thermal_range	17.04	°C
2020737	Body_size	2.63	mm
2020737	Voltinism_mean	1	generation(s) / year
2020737	Dispersal_ability	0.01	ratio within order
2020737	Thermal_minimum	4.08	°C
2020737	Thermal_maximum	12.43	°C
2020737	Thermal_mean	9.32	°C
2020737	Thermal_range	8.35	°C
4488996	Body_size	2.23	mm
4488996	Voltinism_mean	1	generation(s) / year
4488996	Dispersal_ability	0.26	ratio within order
4488996	Thermal_minimum	8.88	°C
4488996	Thermal_maximum	9.75	°C
4488996	Thermal_mean	9.33	°C
4488996	Thermal_range	0.87	°C
4489008	Body_size	2.4	mm
4489008	Voltinism_mean	1	generation(s) / year
4489008	Dispersal_ability	0.26	ratio within order
4489008	Thermal_minimum	4.08	°C
4489008	Thermal_maximum	11.04	°C
4489008	Thermal_mean	8.78	°C
4489008	Thermal_range	6.96	°C
4488988	Body_size	2.6	mm
4488988	Voltinism_mean	1	generation(s) / year
4488988	Dispersal_ability	0.01	ratio within order
4488988	Thermal_minimum	1.3	°C
4488988	Thermal_maximum	9.94	°C
4488988	Thermal_mean	7	°C
4488988	Thermal_range	8.64	°C
4488999	Body_size	2.6	mm
4488999	Voltinism_mean	1	generation(s) / year
4488999	Dispersal_ability	0.26	ratio within order
4488999	Thermal_minimum	1.3	°C
4488999	Thermal_maximum	8.69	°C
4488999	Thermal_mean	6.11	°C
4488999	Thermal_range	7.39	°C
2020740	Body_size	2.15	mm
2020740	Voltinism_mean	1	generation(s) / year
2020740	Dispersal_ability	0.59	ratio within order
2020740	Thermal_minimum	4.08	°C
2020740	Thermal_maximum	17.73	°C
2020740	Thermal_mean	9.89	°C
2020740	Thermal_range	13.65	°C
4489001	Body_size	2.6	mm
4489001	Voltinism_mean	1	generation(s) / year
4489001	Dispersal_ability	0.26	ratio within order
4489001	Thermal_minimum	4.04	°C
4489001	Thermal_maximum	10.82	°C
4489001	Thermal_mean	9.17	°C
4489001	Thermal_range	6.78	°C
5013501	Body_size	2.2	mm
5013501	Dispersal_ability	1	ratio within order
5013501	Thermal_minimum	3.82	°C
5013501	Thermal_maximum	14.12	°C
5013501	Thermal_mean	10.13	°C
5013501	Thermal_range	10.31	°C
1067457	Body_size	5.5	mm
1067457	Dispersal_ability	0.45	ratio within order
1067457	Thermal_minimum	3.78	°C
1067457	Thermal_maximum	16.18	°C
1067457	Thermal_mean	11.44	°C
1067457	Thermal_range	12.4	°C
10595482	Body_size	15.05	mm
10595482	Dispersal_ability	0.11	ratio within order
10595482	Thermal_minimum	-0.16	°C
10595482	Thermal_maximum	14.05	°C
10595482	Thermal_mean	9.53	°C
10595482	Thermal_range	14.21	°C
4459446	Body_size	8.97	mm
4459446	Dispersal_ability	0.06	ratio within order
4459446	Thermal_minimum	0.98	°C
4459446	Thermal_maximum	16.18	°C
4459446	Thermal_mean	11.29	°C
4459446	Thermal_range	15.2	°C
5866246	Body_size	15.5	mm
5866246	Dispersal_ability	1	ratio within order
5866246	Thermal_minimum	-1.75	°C
5866246	Thermal_maximum	15.81	°C
5866246	Thermal_mean	9.43	°C
5866246	Thermal_range	17.57	°C
2136710	Body_size	1.78	mm
2136710	Dispersal_ability	0.26	ratio within order
2136710	Thermal_minimum	1.04	°C
2136710	Thermal_maximum	14.85	°C
2136710	Thermal_mean	10.09	°C
2136710	Thermal_range	13.81	°C
1968206	Body_size	11	mm
1968206	Voltinism_mean	1	generation(s) / year
7681733	Body_size	11.67	mm
7681733	Voltinism_mean	2	generation(s) / year
7681733	Thermal_minimum	0.2	°C
7681733	Thermal_maximum	20.61	°C
7681733	Thermal_mean	9.64	°C
7681733	Thermal_range	20.4	°C
4484044	Body_size	6.3	mm
4484044	Voltinism_mean	1	generation(s) / year
4484044	Dispersal_ability	1	ratio within order
4484044	Thermal_minimum	8.08	°C
4484044	Thermal_maximum	10.65	°C
4484044	Thermal_mean	9.75	°C
4484044	Thermal_range	2.57	°C
4484051	Body_size	5.65	mm
4484051	Voltinism_mean	1	generation(s) / year
4484051	Dispersal_ability	1	ratio within order
4484051	Thermal_minimum	5.04	°C
4484051	Thermal_maximum	12.72	°C
4484051	Thermal_mean	9.71	°C
4484051	Thermal_range	7.68	°C
4484047	Body_size	5.45	mm
4484047	Dispersal_ability	1	ratio within order
4484047	Thermal_minimum	8.08	°C
4484047	Thermal_maximum	12.96	°C
4484047	Thermal_mean	9.67	°C
4484047	Thermal_range	4.87	°C
8426653	Body_size	6.44	mm
8426653	Voltinism_mean	1	generation(s) / year
8426653	Dispersal_ability	0.5	ratio within order
8426653	Thermal_minimum	1.31	°C
8426653	Thermal_maximum	12.95	°C
8426653	Thermal_mean	9.47	°C
8426653	Thermal_range	11.64	°C
4487294	Body_size	5.55	mm
4487294	Voltinism_mean	1	generation(s) / year
4487294	Dispersal_ability	0.5	ratio within order
4487294	Thermal_minimum	4.08	°C
4487294	Thermal_maximum	16.18	°C
4487294	Thermal_mean	10.12	°C
4487294	Thermal_range	12.1	°C
1605813	Body_size	2.15	mm
1605813	Voltinism_mean	1	generation(s) / year
1605813	Thermal_minimum	9.12	°C
1605813	Thermal_maximum	10.43	°C
1605813	Thermal_mean	9.7	°C
1605813	Thermal_range	1.3	°C
1605818	Body_size	2.15	mm
1605818	Voltinism_mean	2	generation(s) / year
1605818	Thermal_minimum	6.19	°C
1605818	Thermal_maximum	11.88	°C
1605818	Thermal_mean	9.72	°C
1605818	Thermal_range	5.69	°C
1605803	Body_size	2	mm
1605803	Voltinism_mean	1	generation(s) / year
1605803	Thermal_minimum	6.48	°C
1605803	Thermal_maximum	10.62	°C
1605803	Thermal_mean	9.6	°C
1605803	Thermal_range	4.14	°C
1605801	Body_size	2.5	mm
1605801	Voltinism_mean	1	generation(s) / year
1605801	Thermal_minimum	6.06	°C
1605801	Thermal_maximum	10.92	°C
1605801	Thermal_mean	8.87	°C
1605801	Thermal_range	4.86	°C
1605814	Body_size	2.9	mm
1605814	Voltinism_mean	2	generation(s) / year
1605830	Body_size	2.75	mm
1605830	Voltinism_mean	1	generation(s) / year
1605830	Thermal_minimum	6.48	°C
1605830	Thermal_maximum	10.03	°C
1605830	Thermal_mean	9.02	°C
1605830	Thermal_range	3.55	°C
1861510	Body_size	55.33	mm
1861510	Voltinism_mean	2	generation(s) / year
1861510	Thermal_minimum	-2.59	°C
1861510	Thermal_maximum	25.19	°C
1861510	Thermal_mean	9.54	°C
1861510	Thermal_range	27.77	°C
1952229	Body_size	18.67	mm
1952229	Voltinism_mean	1	generation(s) / year
1952229	Thermal_minimum	-1.71	°C
1952229	Thermal_maximum	12.83	°C
1952229	Thermal_mean	8.89	°C
1952229	Thermal_range	14.54	°C
4431220	Body_size	7.67	mm
4431220	Dispersal_ability	0.13	ratio within order
4431220	Thermal_minimum	2.28	°C
4431220	Thermal_maximum	17.17	°C
4431220	Thermal_mean	11.54	°C
4431220	Thermal_range	14.89	°C
1118085	Body_size	8.8	mm
1118085	Dispersal_ability	0.11	ratio within order
1118085	Thermal_minimum	0.98	°C
1118085	Thermal_maximum	13.01	°C
1118085	Thermal_mean	7.1	°C
1118085	Thermal_range	12.03	°C
4487217	Body_size	3.3	mm
4487217	Voltinism_mean	1	generation(s) / year
4487217	Dispersal_ability	1	ratio within order
4487217	Thermal_minimum	4.08	°C
4487217	Thermal_maximum	10.48	°C
4487217	Thermal_mean	8.5	°C
4487217	Thermal_range	6.4	°C
4486711	Body_size	3.85	mm
4486711	Voltinism_mean	1	generation(s) / year
4486711	Dispersal_ability	0.5	ratio within order
4486711	Thermal_minimum	4.71	°C
4486711	Thermal_maximum	11.34	°C
4486711	Thermal_mean	9.42	°C
4486711	Thermal_range	6.63	°C
1763072	Body_size	13.33	mm
1763072	Voltinism_mean	2	generation(s) / year
1763072	Thermal_minimum	2.8	°C
1763072	Thermal_maximum	26.78	°C
1763072	Thermal_mean	12.3	°C
1763072	Thermal_range	23.98	°C
5772063	Body_size	10.5	mm
5772063	Voltinism_mean	2	generation(s) / year
5772063	Thermal_minimum	-0.38	°C
5772063	Thermal_maximum	26.78	°C
5772063	Thermal_mean	10.85	°C
5772063	Thermal_range	27.16	°C
8150836	Body_size	11.5	mm
8150836	Voltinism_mean	1	generation(s) / year
8150836	Thermal_minimum	6.33	°C
8150836	Thermal_maximum	13.1	°C
8150836	Thermal_mean	9.97	°C
8150836	Thermal_range	6.77	°C
1782763	Body_size	18.5	mm
1782763	Voltinism_mean	2	generation(s) / year
1782763	Thermal_minimum	-1.05	°C
1782763	Thermal_maximum	15.33	°C
1782763	Thermal_mean	9.61	°C
1782763	Thermal_range	16.38	°C
1782726	Body_size	17.83	mm
1782726	Voltinism_mean	2	generation(s) / year
1782726	Thermal_minimum	-1.33	°C
1782726	Thermal_maximum	14.05	°C
1782726	Thermal_mean	8.99	°C
1782726	Thermal_range	15.38	°C
1782927	Body_size	17.33	mm
1782927	Voltinism_mean	2	generation(s) / year
1782927	Thermal_minimum	-2.59	°C
1782927	Thermal_maximum	16	°C
1782927	Thermal_mean	8.72	°C
1782927	Thermal_range	18.59	°C
1783045	Body_size	15	mm
1783045	Thermal_minimum	4.45	°C
1783045	Thermal_maximum	9.75	°C
1783045	Thermal_mean	7.35	°C
1783045	Thermal_range	5.3	°C
7825213	Body_size	20	mm
7825213	Voltinism_mean	2	generation(s) / year
7825213	Thermal_minimum	1.68	°C
7825213	Thermal_maximum	13.1	°C
7825213	Thermal_mean	8.84	°C
7825213	Thermal_range	11.42	°C
1782727	Body_size	14.5	mm
1782727	Voltinism_mean	2	generation(s) / year
1782727	Thermal_minimum	-2.93	°C
1782727	Thermal_maximum	15.65	°C
1782727	Thermal_mean	6.16	°C
1782727	Thermal_range	18.59	°C
1783043	Body_size	18.5	mm
1783043	Voltinism_mean	2	generation(s) / year
1783043	Thermal_minimum	-1.15	°C
1783043	Thermal_maximum	16.16	°C
1783043	Thermal_mean	9.04	°C
1783043	Thermal_range	17.31	°C
1782777	Body_size	18.5	mm
1782777	Voltinism_mean	2	generation(s) / year
1782777	Thermal_minimum	-3.28	°C
1782777	Thermal_maximum	21.5	°C
1782777	Thermal_mean	7.69	°C
1782777	Thermal_range	24.78	°C
1783037	Body_size	18.17	mm
1783037	Voltinism_mean	2	generation(s) / year
1783037	Thermal_minimum	2.5	°C
1783037	Thermal_maximum	13.01	°C
1783037	Thermal_mean	8.34	°C
1783037	Thermal_range	10.51	°C
1782948	Body_size	18.5	mm
1782948	Voltinism_mean	2	generation(s) / year
1782948	Thermal_minimum	-1.75	°C
1782948	Thermal_maximum	17.66	°C
1782948	Thermal_mean	9.18	°C
1782948	Thermal_range	19.42	°C
1782672	Body_size	18.17	mm
1782672	Voltinism_mean	2	generation(s) / year
1782672	Thermal_minimum	-0.82	°C
1782672	Thermal_maximum	17.78	°C
1782672	Thermal_mean	9.47	°C
1782672	Thermal_range	18.6	°C
1782841	Body_size	13.83	mm
1782841	Voltinism_mean	1	generation(s) / year
1782841	Thermal_minimum	1.11	°C
1782841	Thermal_maximum	13.95	°C
1782841	Thermal_mean	9.58	°C
1782841	Thermal_range	12.84	°C
1783016	Body_size	18.5	mm
1783016	Voltinism_mean	2	generation(s) / year
1783016	Thermal_minimum	2.78	°C
1783016	Thermal_maximum	14.96	°C
1783016	Thermal_mean	9.85	°C
1783016	Thermal_range	12.18	°C
1068557	Body_size	7.5	mm
1068557	Development_time	35	days
1068557	Dispersal_ability	0.46	ratio within order
1068557	Thermal_minimum	-3.35	°C
1068557	Thermal_maximum	15.55	°C
1068557	Thermal_mean	6.57	°C
1068557	Thermal_range	18.9	°C
1068592	Body_size	11.5	mm
1068592	Dispersal_ability	0.43	ratio within order
1068592	Thermal_minimum	-3.11	°C
1068592	Thermal_maximum	16.73	°C
1068592	Thermal_mean	7.11	°C
1068592	Thermal_range	19.84	°C
6097685	Body_size	2.15	mm
6097685	Dispersal_ability	1	ratio within order
6097685	Thermal_minimum	5.04	°C
6097685	Thermal_maximum	14.14	°C
6097685	Thermal_mean	9.3	°C
6097685	Thermal_range	9.1	°C
4435785	Body_size	0.9	mm
4435785	Dispersal_ability	1	ratio within order
4435785	Thermal_minimum	6.91	°C
4435785	Thermal_maximum	17.11	°C
4435785	Thermal_mean	9.86	°C
4435785	Thermal_range	10.2	°C
4435736	Body_size	0.95	mm
4435736	Dispersal_ability	1	ratio within order
4435736	Thermal_minimum	4.74	°C
4435736	Thermal_maximum	12.78	°C
4435736	Thermal_mean	9.2	°C
4435736	Thermal_range	8.04	°C
4435795	Body_size	1.05	mm
4435795	Dispersal_ability	1	ratio within order
4435795	Thermal_minimum	2.91	°C
4435795	Thermal_maximum	14.95	°C
4435795	Thermal_mean	9.27	°C
4435795	Thermal_range	12.04	°C
4435743	Body_size	1	mm
4435743	Dispersal_ability	1	ratio within order
4435743	Thermal_minimum	7.62	°C
4435743	Thermal_maximum	10.74	°C
4435743	Thermal_mean	9.4	°C
4435743	Thermal_range	3.12	°C
4444753	Body_size	3.29	mm
4444753	Dispersal_ability	0.03	ratio within order
4444753	Thermal_minimum	-0.11	°C
4444753	Thermal_maximum	11.44	°C
4444753	Thermal_mean	8.58	°C
4444753	Thermal_range	11.55	°C
1787506	Body_size	17	mm
1787504	Body_size	18.83	mm
1787504	Voltinism_mean	1	generation(s) / year
1787504	Thermal_minimum	-1.33	°C
1787504	Thermal_maximum	12.95	°C
1787504	Thermal_mean	8.54	°C
1787504	Thermal_range	14.28	°C
1792292	Body_size	14.5	mm
1792292	Voltinism_mean	2	generation(s) / year
1792292	Thermal_minimum	-0.38	°C
1792292	Thermal_maximum	14.95	°C
1792292	Thermal_mean	8.88	°C
1792292	Thermal_range	15.34	°C
1792300	Body_size	13.5	mm
1792300	Voltinism_mean	2	generation(s) / year
1792300	Thermal_minimum	0.11	°C
1792300	Thermal_maximum	13.58	°C
1792300	Thermal_mean	8.61	°C
1792300	Thermal_range	13.47	°C
2159474	Body_size	11	mm
2159474	Development_time	60	days
2159474	Dispersal_ability	1	ratio within order
2159474	Thermal_minimum	-2.93	°C
2159474	Thermal_maximum	15	°C
2159474	Thermal_mean	7.89	°C
2159474	Thermal_range	17.93	°C
4475685	Body_size	3.5	mm
4475685	Dispersal_ability	1	ratio within order
4475685	Thermal_minimum	9.2	°C
4475685	Thermal_maximum	18.95	°C
4475685	Thermal_mean	11.87	°C
4475685	Thermal_range	9.75	°C
4475677	Body_size	2.7	mm
4475677	Development_time	150	days
4475677	Dispersal_ability	0.88	ratio within order
4475677	Thermal_minimum	4.44	°C
4475677	Thermal_maximum	18.95	°C
4475677	Thermal_mean	10.15	°C
4475677	Thermal_range	14.51	°C
4475688	Body_size	3.5	mm
4475688	Dispersal_ability	1	ratio within order
4475688	Thermal_minimum	3.9	°C
4475688	Thermal_maximum	15.24	°C
4475688	Thermal_mean	9.97	°C
4475688	Thermal_range	11.34	°C
4475707	Body_size	2	mm
4475707	Dispersal_ability	1	ratio within order
4475707	Thermal_minimum	3.89	°C
4475707	Thermal_maximum	16.12	°C
4475707	Thermal_mean	9.53	°C
4475707	Thermal_range	12.22	°C
9415910	Body_size	3.15	mm
9415910	Development_time	135	days
9415910	Dispersal_ability	0.88	ratio within order
9415910	Thermal_minimum	3.76	°C
9415910	Thermal_maximum	18.59	°C
9415910	Thermal_mean	9.82	°C
9415910	Thermal_range	14.84	°C
1037633	Body_size	3.63	mm
1037633	Development_time	135	days
1037633	Dispersal_ability	0.88	ratio within order
1037633	Thermal_minimum	3.68	°C
1037633	Thermal_maximum	14.96	°C
1037633	Thermal_mean	9.61	°C
1037633	Thermal_range	11.28	°C
4475699	Body_size	3.63	mm
4475699	Development_time	90	days
4475699	Dispersal_ability	1	ratio within order
4475699	Thermal_minimum	3.96	°C
4475699	Thermal_maximum	13.78	°C
4475699	Thermal_mean	9.84	°C
4475699	Thermal_range	9.82	°C
1043097	Body_size	4.38	mm
1043097	Fecundity	16	eggs
1043097	Development_time	20	days
1043097	Voltinism_mean	2.5	generation(s) / year
1043097	Dispersal_ability	1	ratio within order
1043097	Thermal_minimum	-2.84	°C
1043097	Thermal_maximum	17.8	°C
1043097	Thermal_mean	9.51	°C
1043097	Thermal_range	20.65	°C
4452227	Body_size	4.25	mm
4452227	Fecundity	11	eggs
4452227	Development_time	24	days
4452227	Voltinism_mean	2	generation(s) / year
4452227	Dispersal_ability	1	ratio within order
4452227	Thermal_minimum	-0.72	°C
4452227	Thermal_maximum	18.05	°C
4452227	Thermal_mean	9.61	°C
4452227	Thermal_range	18.77	°C
2035330	Body_size	3.13	mm
2035330	Voltinism_mean	2	generation(s) / year
2035330	Dispersal_ability	1	ratio within order
2035330	Thermal_minimum	8.02	°C
2035330	Thermal_maximum	14.46	°C
2035330	Thermal_mean	9.68	°C
2035330	Thermal_range	6.44	°C
9695352	Body_size	8.48	mm
9695352	Voltinism_mean	1	generation(s) / year
9695352	Dispersal_ability	1	ratio within order
9695352	Thermal_minimum	-0.03	°C
9695352	Thermal_maximum	17.17	°C
9695352	Thermal_mean	10.03	°C
9695352	Thermal_range	17.21	°C
4487359	Body_size	9.1	mm
4487359	Voltinism_mean	1	generation(s) / year
4487359	Dispersal_ability	1	ratio within order
4487359	Thermal_minimum	3.73	°C
4487359	Thermal_maximum	14.46	°C
4487359	Thermal_mean	9.91	°C
4487359	Thermal_range	10.73	°C
2009421	Body_size	7.5	mm
2009421	Voltinism_mean	1	generation(s) / year
2009421	Dispersal_ability	1	ratio within order
2009421	Thermal_minimum	1.31	°C
2009421	Thermal_maximum	14.96	°C
2009421	Thermal_mean	10.19	°C
2009421	Thermal_range	13.65	°C
4487361	Body_size	7.3	mm
4487361	Voltinism_mean	1	generation(s) / year
4487361	Dispersal_ability	1	ratio within order
4487361	Thermal_minimum	3.75	°C
4487361	Thermal_maximum	15.31	°C
4487361	Thermal_mean	10.07	°C
4487361	Thermal_range	11.56	°C
1047210	Body_size	2.24	mm
1047210	Dispersal_ability	0.04	ratio within order
1047210	Thermal_minimum	5.37	°C
1047210	Thermal_maximum	15.9	°C
1047210	Thermal_mean	10.21	°C
1047210	Thermal_range	10.53	°C
4451118	Body_size	1.4	mm
4451118	Development_time	28	days
4451118	Dispersal_ability	1	ratio within order
4451118	Thermal_minimum	9.3	°C
4451118	Thermal_maximum	11.6	°C
4451118	Thermal_mean	10.15	°C
4451118	Thermal_range	2.3	°C
4486134	Body_size	6.45	mm
4486134	Thermal_minimum	-0.12	°C
4486134	Thermal_maximum	12.96	°C
4486134	Thermal_mean	8.52	°C
4486134	Thermal_range	13.08	°C
4428912	Body_size	3.6	mm
4428912	Dispersal_ability	1	ratio within order
4428912	Thermal_minimum	4.68	°C
4428912	Thermal_maximum	14.46	°C
4428912	Thermal_mean	10.99	°C
4428912	Thermal_range	9.78	°C
8403618	Body_size	10.38	mm
8403618	Voltinism_mean	1	generation(s) / year
8403618	Thermal_minimum	-2.93	°C
8403618	Thermal_maximum	14.95	°C
8403618	Thermal_mean	7.24	°C
8403618	Thermal_range	17.89	°C
4522753	Body_size	12.88	mm
4522753	Voltinism_mean	1	generation(s) / year
4522753	Thermal_minimum	-2.93	°C
4522753	Thermal_maximum	14.95	°C
4522753	Thermal_mean	9.2	°C
4522753	Thermal_range	17.89	°C
5113847	Body_size	16.5	mm
5113847	Voltinism_mean	1	generation(s) / year
5113847	Thermal_minimum	0.64	°C
5113847	Thermal_maximum	14.25	°C
5113847	Thermal_mean	9.23	°C
5113847	Thermal_range	13.61	°C
5113853	Body_size	15.17	mm
5113853	Voltinism_mean	2	generation(s) / year
5113853	Thermal_minimum	1.47	°C
5113853	Thermal_maximum	24.64	°C
5113853	Thermal_mean	14.38	°C
5113853	Thermal_range	23.17	°C
4433561	Body_size	1.44	mm
4433561	Dispersal_ability	0.03	ratio within order
4433561	Thermal_minimum	8.29	°C
4433561	Thermal_maximum	16.18	°C
4433561	Thermal_mean	10.42	°C
4433561	Thermal_range	7.89	°C
2079123	Body_size	8.53	mm
2079123	Dispersal_ability	1	ratio within order
2079123	Thermal_minimum	0.96	°C
2079123	Thermal_maximum	16.57	°C
2079123	Thermal_mean	10.29	°C
2079123	Thermal_range	15.61	°C
6096804	Body_size	7.32	mm
6096804	Dispersal_ability	1	ratio within order
6096804	Thermal_minimum	1.29	°C
6096804	Thermal_maximum	10.28	°C
6096804	Thermal_mean	8.35	°C
6096804	Thermal_range	8.99	°C
5758854	Body_size	8.65	mm
5758854	Voltinism_mean	1	generation(s) / year
5758854	Dispersal_ability	0.26	ratio within order
5758854	Thermal_minimum	3.24	°C
5758854	Thermal_maximum	17.24	°C
5758854	Thermal_mean	10.67	°C
5758854	Thermal_range	14	°C
10107295	Body_size	5.56	mm
10107295	Dispersal_ability	0.01	ratio within order
10107295	Thermal_minimum	-2.93	°C
10107295	Thermal_maximum	17.17	°C
10107295	Thermal_mean	9.93	°C
10107295	Thermal_range	20.1	°C
1425203	Body_size	61.5	mm
1425203	Development_time	360	days
1425203	Voltinism_mean	1	generation(s) / year
1425203	Dispersal_ability	0.93	ratio within order
1425203	Thermal_minimum	1.31	°C
1425203	Thermal_maximum	19.04	°C
1425203	Thermal_mean	10.94	°C
1425203	Thermal_range	17.74	°C
1425240	Body_size	71.5	mm
1425240	Development_time	720	days
1425240	Voltinism_mean	0.8	generation(s) / year
1425240	Lifespan	63	days
1425240	Dispersal_ability	0.71	ratio within order
1425240	Thermal_minimum	-2.83	°C
1425240	Thermal_maximum	17.52	°C
1425240	Thermal_mean	9.67	°C
1425240	Thermal_range	20.36	°C
1425264	Body_size	73.5	mm
1425264	Development_time	720	days
1425264	Voltinism_mean	0.5	generation(s) / year
1425264	Dispersal_ability	0.65	ratio within order
1425264	Thermal_minimum	-2.59	°C
1425264	Thermal_maximum	14.12	°C
1425264	Thermal_mean	9.12	°C
1425264	Thermal_range	16.71	°C
1425221	Body_size	72.5	mm
1425221	Development_time	1080	days
1425221	Voltinism_mean	0.5	generation(s) / year
1425221	Dispersal_ability	0.58	ratio within order
1425221	Thermal_minimum	-8.49	°C
1425221	Thermal_maximum	12.91	°C
1425221	Thermal_mean	7.64	°C
1425221	Thermal_range	21.4	°C
1425177	Body_size	60	mm
1425177	Development_time	720	days
1425177	Voltinism_mean	1	generation(s) / year
1425177	Dispersal_ability	0.82	ratio within order
1425177	Thermal_minimum	-0.43	°C
1425177	Thermal_maximum	18.4	°C
1425177	Thermal_mean	10.32	°C
1425177	Thermal_range	18.83	°C
1425166	Body_size	73	mm
1425166	Development_time	1440	days
1425166	Voltinism_mean	0.5	generation(s) / year
1425166	Dispersal_ability	0.32	ratio within order
1425166	Thermal_minimum	-2.83	°C
1425166	Thermal_maximum	10.74	°C
1425166	Thermal_mean	6.71	°C
1425166	Thermal_range	13.58	°C
1425187	Body_size	70	mm
1425187	Development_time	900	days
1425187	Voltinism_mean	0.5	generation(s) / year
1425187	Thermal_minimum	5.86	°C
1425187	Thermal_maximum	9.91	°C
1425187	Thermal_mean	8.89	°C
1425187	Thermal_range	4.05	°C
1990150	Body_size	14.17	mm
1990150	Voltinism_mean	2	generation(s) / year
1990150	Thermal_minimum	-0.09	°C
1990150	Thermal_maximum	16.46	°C
1990150	Thermal_mean	9.25	°C
1990150	Thermal_range	16.55	°C
2160943	Body_size	6.93	mm
2160943	Dispersal_ability	0.5	ratio within order
2160943	Thermal_minimum	1.29	°C
2160943	Thermal_maximum	19.68	°C
2160943	Thermal_mean	11.06	°C
2160943	Thermal_range	18.39	°C
4482818	Body_size	2.85	mm
4482818	Voltinism_mean	1	generation(s) / year
4482818	Dispersal_ability	0.26	ratio within order
4482818	Thermal_minimum	6.88	°C
4482818	Thermal_maximum	10.03	°C
4482818	Thermal_mean	9.43	°C
4482818	Thermal_range	3.15	°C
2032960	Body_size	3.62	mm
2032960	Voltinism_mean	1	generation(s) / year
2032960	Thermal_minimum	7.85	°C
2032960	Thermal_maximum	16.52	°C
2032960	Thermal_mean	9.8	°C
2032960	Thermal_range	8.68	°C
5747768	Body_size	2.25	mm
5747768	Dispersal_ability	1	ratio within order
5747768	Thermal_minimum	4.45	°C
5747768	Thermal_maximum	11.17	°C
5747768	Thermal_mean	9.46	°C
5747768	Thermal_range	6.72	°C
5747778	Body_size	2.78	mm
5747778	Dispersal_ability	0.04	ratio within order
5747778	Thermal_minimum	1.47	°C
5747778	Thermal_maximum	13.78	°C
5747778	Thermal_mean	9.34	°C
5747778	Thermal_range	12.31	°C
5747834	Body_size	2.75	mm
5747834	Dispersal_ability	1	ratio within order
5747834	Thermal_minimum	-0.57	°C
5747834	Thermal_maximum	14.14	°C
5747834	Thermal_mean	9.07	°C
5747834	Thermal_range	14.71	°C
2139576	Body_size	12.13	mm
2139576	Fecundity	90	eggs
2139576	Development_time	80	days
2139576	Voltinism_mean	1	generation(s) / year
2139576	Dispersal_ability	0.88	ratio within order
2139576	Thermal_minimum	-1.01	°C
2139576	Thermal_maximum	17.78	°C
2139576	Thermal_mean	10.51	°C
2139576	Thermal_range	18.78	°C
4505312	Body_size	8.38	mm
4505312	Voltinism_mean	1	generation(s) / year
4505312	Thermal_minimum	8.92	°C
